time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-06-14T17:56:02.198Z,44.689,149.6997,35,4.3,mb,,181,5.124,0.87,us,us7000ed0n,2021-06-14T18:51:54.040Z,"155 km ESE of Kuril’sk, Russia",earthquake,11.1,2,0.068,62,reviewed,us,us
2021-06-14T17:04:01.364Z,-24.5176,-179.7124,462.58,4.6,mb,,119,7.054,0.66,us,us7000ed09,2021-06-14T18:27:29.040Z,"south of the Fiji Islands",earthquake,14.8,10.3,0.091,36,reviewed,us,us
2021-06-14T16:25:34.806Z,6.8386,-73.0675,150.06,4.5,mb,,63,0.94,0.68,us,us7000ed00,2021-06-14T18:22:06.005Z,"12 km NNE of Jordán, Colombia",earthquake,4.9,6.9,0.036,224,reviewed,us,us
2021-06-14T16:09:19.860Z,17.9273,-66.736,5,3.06,md,20,193,0.1737,0.28,pr,pr2021165010,2021-06-14T16:41:54.890Z,"7 km SSW of Tallaboa, Puerto Rico",earthquake,0.64,0.38,0.18,6,reviewed,pr,pr
2021-06-14T15:17:14.515Z,55.1365,164.5846,10,4.4,mb,,99,4.086,0.77,us,us7000ecyw,2021-06-14T16:17:58.040Z,"179 km SE of Ust’-Kamchatsk Staryy, Russia",earthquake,10.6,1.9,0.087,38,reviewed,us,us
2021-06-14T14:49:54.766Z,7.6057,124.9442,10,5.3,mww,,102,0.824,0.95,us,us7000ecyn,2021-06-15T05:57:59.899Z,"3 km E of Kadingilan, Philippines",earthquake,6.9,0.9,0.08,15,reviewed,us,us
2021-06-14T14:38:42.076Z,7.7077,124.983,10,5.7,mww,,41,0.866,0.6,us,us7000ecyk,2021-06-15T14:42:19.986Z,"3 km NW of Don Carlos, Philippines",earthquake,7.3,1.8,0.044,50,reviewed,us,us
2021-06-14T14:24:43.650Z,17.8925,-66.8601,8,3.16,md,18,210,0.1995,0.18,pr,pr2021165009,2021-06-14T22:07:57.828Z,"9 km SSE of Maria Antonia, Puerto Rico",earthquake,0.61,1.04,0.15,11,reviewed,pr,pr
2021-06-14T14:19:12.535Z,47.1434,-70.6889,11.97,2.6,ml,,83,0.474,0.11,us,us7000ed48,2021-06-16T02:53:35.069Z,"19 km NE of Beaupré, Canada",earthquake,2.4,8.8,0.148,6,reviewed,us,us
2021-06-14T14:18:10.550Z,-39.7045,-104.9647,10,5,mb,,146,13.053,1.01,us,us7000ecyg,2021-06-14T16:08:44.310Z,"southern Pacific Ocean",earthquake,8.2,1.9,0.04,202,reviewed,us,us
2021-06-14T13:34:03.800Z,17.912,-66.7276,6,2.81,md,18,197,0.1642,0.33,pr,pr2021165008,2021-06-14T14:31:19.040Z,"9 km S of Tallaboa, Puerto Rico",earthquake,0.86,0.75,0.36,11,reviewed,pr,pr
2021-06-14T13:24:40.100Z,29.6481,130.9933,18.83,4.4,mb,,129,1.912,0.53,us,us7000ecy4,2021-06-14T13:58:39.040Z,"78 km SE of Koshima, Japan",earthquake,7.4,5,0.088,39,reviewed,us,us
2021-06-14T12:46:31.856Z,39.7338,20.3066,10,4.4,mb,,42,0.277,0.89,us,us7000ecy2,2021-06-15T00:20:49.208Z,"13 km NE of Konispol, Albania",earthquake,4.3,1.9,0.13,17,reviewed,us,us
2021-06-14T12:34:13.775Z,-27.8186,-71.577,5.81,4.2,mb,,176,0.588,0.8,us,us7000ecxz,2021-06-14T12:47:01.040Z,"116 km NW of Vallenar, Chile",earthquake,4.3,8.2,0.236,5,reviewed,us,us
2021-06-14T12:28:12.030Z,33.3551667,-116.3121667,12,3.06,ml,132,15,0.007498,0.22,ci,ci39705335,2021-06-15T05:52:39.480Z,"12km NNE of Borrego Springs, CA",earthquake,0.11,0.41,0.115,210,reviewed,ci,ci
2021-06-14T11:56:29.560Z,18.263,-68.4966,85,3.22,md,9,155,0.2761,0.32,pr,pr2021165007,2021-06-15T00:08:51.473Z,"17 km SE of Boca de Yuma, Dominican Republic",earthquake,2.48,1.82,0.33,5,reviewed,pr,pr
2021-06-14T10:41:54.503Z,53.5155,-159.6669,10,4.8,mb,,162,1.319,0.77,us,us7000ecxe,2021-06-15T06:41:39.161Z,"209 km SSE of Sand Point, Alaska",earthquake,7.8,1.9,0.044,157,reviewed,us,us
2021-06-14T10:37:48.550Z,33.7961667,-116.9266667,9.47,2.75,ml,99,18,0.0363,0.2,ci,ci39705263,2021-06-15T00:15:41.643Z,"3km ENE of San Jacinto, CA",earthquake,0.17,0.44,0.159,25,automatic,ci,ci
2021-06-14T10:36:08.390Z,17.9516,-66.8278,9,3.14,md,20,187,0.0565,0.24,pr,pr2021165005,2021-06-14T11:17:13.112Z,"4 km S of Indios, Puerto Rico",earthquake,0.48,0.68,0.13,12,reviewed,pr,pr
2021-06-14T10:24:16.610Z,18.1571,-68.4793,81,3.13,md,13,181,0.37,0.42,pr,pr2021165006,2021-06-15T04:57:27.040Z,"28 km SSE of Boca de Yuma, Dominican Republic",earthquake,2.28,1.42,0.61,4,reviewed,pr,pr
2021-06-14T10:15:43.030Z,18.1195,-68.496,87,5,ml,28,190,0.4107,0.42,pr,pr2021165003,2021-06-15T14:03:56.720Z,"31 km SSE of Boca de Yuma, Dominican Republic",earthquake,2.5,1.93,0.15,22,reviewed,pr,pr
2021-06-14T10:10:07.610Z,18.1925,-68.5071,86,4.09,md,22,173,0.3451,0.22,pr,pr2021165002,2021-06-14T14:15:57.246Z,"23 km SSE of Boca de Yuma, Dominican Republic",earthquake,2.07,1.27,0.15,14,reviewed,pr,pr
2021-06-14T09:39:51.898Z,42.2864,-126.1768,10,2.7,ml,,245,1.67,0.76,us,us7000ecwq,2021-06-14T10:09:12.040Z,"145 km W of Gold Beach, Oregon",earthquake,8.8,2,0.041,79,reviewed,us,us
2021-06-14T09:21:38.793Z,31.66903811,-104.3937763,7.031347656,2.8,ml,33,60,0.09121651893,0.3,tx,tx2021loja,2021-06-14T14:24:44.278Z,"56 km S of Whites City, New Mexico",earthquake,1.270302484,1.418628124,0.1,17,reviewed,tx,tx
2021-06-14T08:51:25.302Z,31.8955,-115.733,10,2.8,ml,,83,0.212,0.76,us,us7000ecwe,2021-06-14T14:54:11.040Z,"49 km E of Fraccionamiento del Valle, Mexico",earthquake,1.1,2,0.06,36,reviewed,us,us
